Period_ID,Field_Name,Field_Value,Metric_Label,Source_File,Source_URL,Notes
2013Q4,Tesla_ZEV_Sales_CA,1555,reported,New_ZEV_Sales_Last_updated_07-17-2026_ada.xlsx,https://www.energy.ca.gov/filebrowser/download/9805?fid=9805,"Sum of County sheet Number of Vehicles where MAKE=Tesla; Data as of June 30, 2026"
2014Q1,Tesla_ZEV_Sales_CA,1332,reported,New_ZEV_Sales_Last_updated_07-17-2026_ada.xlsx,https://www.energy.ca.gov/filebrowser/download/9805?fid=9805,"Sum of County sheet Number of Vehicles where MAKE=Tesla; Data as of June 30, 2026"
2014Q2,Tesla_ZEV_Sales_CA,1504,reported,New_ZEV_Sales_Last_updated_07-17-2026_ada.xlsx,https://www.energy.ca.gov/filebrowser/download/9805?fid=9805,"Sum of County sheet Number of Vehicles where MAKE=Tesla; Data as of June 30, 2026"
2014Q3,Tesla_ZEV_Sales_CA,1043,reported,New_ZEV_Sales_Last_updated_07-17-2026_ada.xlsx,https://www.energy.ca.gov/filebrowser/download/9805?fid=9805,"Sum of County sheet Number of Vehicles where MAKE=Tesla; Data as of June 30, 2026"
2014Q4,Tesla_ZEV_Sales_CA,2047,reported,New_ZEV_Sales_Last_updated_07-17-2026_ada.xlsx,https://www.energy.ca.gov/filebrowser/download/9805?fid=9805,"Sum of County sheet Number of Vehicles where MAKE=Tesla; Data as of June 30, 2026"
2015Q1,Tesla_ZEV_Sales_CA,2346,reported,New_ZEV_Sales_Last_updated_07-17-2026_ada.xlsx,https://www.energy.ca.gov/filebrowser/download/9805?fid=9805,"Sum of County sheet Number of Vehicles where MAKE=Tesla; Data as of June 30, 2026"
2015Q2,Tesla_ZEV_Sales_CA,2209,reported,New_ZEV_Sales_Last_updated_07-17-2026_ada.xlsx,https://www.energy.ca.gov/filebrowser/download/9805?fid=9805,"Sum of County sheet Number of Vehicles where MAKE=Tesla; Data as of June 30, 2026"
2015Q3,Tesla_ZEV_Sales_CA,2239,reported,New_ZEV_Sales_Last_updated_07-17-2026_ada.xlsx,https://www.energy.ca.gov/filebrowser/download/9805?fid=9805,"Sum of County sheet Number of Vehicles where MAKE=Tesla; Data as of June 30, 2026"
2015Q4,Tesla_ZEV_Sales_CA,2783,reported,New_ZEV_Sales_Last_updated_07-17-2026_ada.xlsx,https://www.energy.ca.gov/filebrowser/download/9805?fid=9805,"Sum of County sheet Number of Vehicles where MAKE=Tesla; Data as of June 30, 2026"
2016Q1,Tesla_ZEV_Sales_CA,2620,reported,New_ZEV_Sales_Last_updated_07-17-2026_ada.xlsx,https://www.energy.ca.gov/filebrowser/download/9805?fid=9805,"Sum of County sheet Number of Vehicles where MAKE=Tesla; Data as of June 30, 2026"
